"mora","atraso","vivienda","edad","dias_lab","exp_sf","nivel_ahorro","ingreso","linea_sf","deuda_sf","score","zona","clasif_sbs","nivel_educ","exp_sf_clean","linea_sf_clean","deuda_sf_clean","nivel_educ_clean","vivienda_clean","zona_clean","exp_sf_outlier","linea_sf_outlier","deuda_sf_outlier"
0,0,"FAMILIAR",26,4200,8,12,3929.72,6000,502.13,186,"Loreto",0,"TECNICA",8,6000,0,"Media o menos","No Propia","OTRAS",FALSE,FALSE,FALSE
0,0,"FAMILIAR",50,4995,NA,2,6000,2802.74,19020.95,177,"Junin",0,"TECNICA",20,2802.74,0,"Media o menos","No Propia","OTRAS",FALSE,FALSE,FALSE
0,1,"FAMILIAR",21,4315,12,12,1076.94,3900,3796.18,175,"Lima",0,"TECNICA",12,3900,0,"Media o menos","No Propia","Lima",FALSE,FALSE,FALSE
0,0,"PROPIA",41,3687,8,10,2615.68,3500,1825.18,199,"Lima",0,"TECNICA",8,3500,0,"Media o menos","Propia","Lima",FALSE,FALSE,FALSE
0,0,"FAMILIAR",30,3779,6,11,850,675,2484.67,168,"Lima",0,"TECNICA",6,675,0,"Media o menos","No Propia","Lima",FALSE,FALSE,FALSE
0,1,"FAMILIAR",52,6031,NA,12,8000,2709.94,47869.37,197,"Lambayeque",0,"TECNICA",20,2709.94,0,"Media o menos","No Propia","OTRAS",FALSE,FALSE,FALSE
0,17,"FAMILIAR",28,5694,47,0,2800,7324.16,0,175,"Lima",2,"UNIVERSITARIA",47,7324.16,0,"Alta","No Propia","Lima",FALSE,FALSE,FALSE
0,0,"FAMILIAR",45,7612,NA,4,1053,541.21,0,168,"Lima",1,"UNIVERSITARIA",20,541.21,0,"Alta","No Propia","Lima",FALSE,FALSE,FALSE
0,0,"FAMILIAR",30,3899,10,12,1163.91,8871.27,32.05,168,"Lima",0,"TECNICA",10,8871.27,0,"Media o menos","No Propia","Lima",FALSE,FALSE,FALSE
0,0,"FAMILIAR",54,3930,9,12,666.11,2673,4010.56,180,"Piura",0,"TECNICA",9,2673,0,"Media o menos","No Propia","OTRAS",FALSE,FALSE,FALSE
0,25,"FAMILIAR",29,4052,11,9,1500,1500,423.93,177,"Lima",1,"TECNICA",11,1500,0,"Media o menos","No Propia","Lima",FALSE,FALSE,FALSE
0,2,"FAMILIAR",35,3992,8,12,785.06,500,818.8,177,"Lima",1,"TECNICA",8,500,0,"Media o menos","No Propia","Lima",FALSE,FALSE,FALSE
0,2,"FAMILIAR",51,4385,12,12,900,NA,3672.76,180,"Lima",0,"TECNICA",12,0,0,"Media o menos","No Propia","Lima",FALSE,FALSE,FALSE
0,2,"FAMILIAR",29,4904,NA,12,905.76,350,1814.11,194,"Lima",0,"TECNICA",20,350,0,"Media o menos","No Propia","Lima",FALSE,FALSE,FALSE
0,1,"PROPIA",59,5605,9,12,2300,600,5195.7,230,"Lima",0,"TECNICA",9,600,0,"Media o menos","Propia","Lima",FALSE,FALSE,FALSE
0,2,"PROPIA",41,4083,NA,12,950,NA,4444.3,218,"Piura",0,"TECNICA",20,0,0,"Media o menos","Propia","OTRAS",FALSE,FALSE,FALSE
0,0,"FAMILIAR",22,3382,8,12,2100,900,3533.97,214,"Callao",0,"UNIVERSITARIA",8,900,0,"Alta","No Propia","OTRAS",FALSE,FALSE,FALSE
0,25,"FAMILIAR",23,4205,7,12,2100,1200,1412.51,174,"Lima",1,"UNIVERSITARIA",7,1200,0,"Alta","No Propia","Lima",FALSE,FALSE,FALSE
0,6,"FAMILIAR",26,5452,NA,12,3000,2779.74,1815.53,215,"Lima",0,"UNIVERSITARIA",20,2779.74,0,"Alta","No Propia","Lima",FALSE,FALSE,FALSE
0,0,"FAMILIAR",32,4052,NA,12,1779.79,NA,9389.79,173,"Lima",0,"TECNICA",20,0,0,"Media o menos","No Propia","Lima",FALSE,FALSE,FALSE
0,0,"FAMILIAR",30,5209,33,11,18000,13830.18,0,198,"Lima",0,"UNIVERSITARIA",33,13830.18,0,"Alta","No Propia","Lima",FALSE,FALSE,FALSE
0,1,"FAMILIAR",32,3626,NA,12,940.79,1350.09,2835.34,175,"Lima",0,"TECNICA",20,1350.09,0,"Media o menos","No Propia","Lima",FALSE,FALSE,FALSE
0,25,"FAMILIAR",26,4598,33,12,1434.7,6910.5,5500.23,171,"Callao",1,"TECNICA",33,6910.5,0,"Media o menos","No Propia","OTRAS",FALSE,FALSE,FALSE
0,0,"FAMILIAR",29,4721,8,12,2600,1075.95,747.4,200,"Lima",0,"UNIVERSITARIA",8,1075.95,0,"Alta","No Propia","Lima",FALSE,FALSE,FALSE
0,0,"PROPIA",40,9988,NA,0,3100,NA,0,204,"Ancash",4,"UNIVERSITARIA",20,0,0,"Alta","Propia","OTRAS",FALSE,FALSE,FALSE
0,0,"PROPIA",46,5564,NA,1,900,4742.45,1610.13,172,"Lambayeque",1,"TECNICA",20,4742.45,0,"Media o menos","Propia","OTRAS",FALSE,FALSE,FALSE
0,1,"FAMILIAR",38,4233,NA,12,1097.38,1200,4562.13,179,"Lima",1,"TECNICA",20,1200,0,"Media o menos","No Propia","Lima",FALSE,FALSE,FALSE
0,0,"FAMILIAR",26,4598,8,12,2300,6406.02,158.24,187,"Lima",0,"UNIVERSITARIA",8,6406.02,0,"Alta","No Propia","Lima",FALSE,FALSE,FALSE
0,0,"FAMILIAR",31,4478,8,12,1300,1850,1471.32,176,"Lima",0,"UNIVERSITARIA",8,1850,0,"Alta","No Propia","Lima",FALSE,FALSE,FALSE
0,0,"FAMILIAR",24,4356,10,12,3500,NA,0,179,"Lima",0,"TECNICA",10,0,0,"Media o menos","No Propia","Lima",FALSE,FALSE,FALSE
0,20,"PROPIA",42,5301,NA,12,2600,145.12,1316.08,207,"Lima",2,"TECNICA",20,145.12,0,"Media o menos","Propia","Lima",FALSE,FALSE,FALSE
0,0,"FAMILIAR",29,4386,8,12,2100,863.39,89.83,200,"Lima",0,"UNIVERSITARIA",8,863.39,0,"Alta","No Propia","Lima",FALSE,FALSE,FALSE
0,1,"FAMILIAR",34,3930,11,12,2066.59,1000,5356.8,196,"Ica",0,"TECNICA",11,1000,0,"Media o menos","No Propia","OTRAS",FALSE,FALSE,FALSE
0,0,"PROPIA",35,4144,NA,12,2168.83,1500,3874.39,213,"La Libertad",0,"TECNICA",20,1500,0,"Media o menos","Propia","OTRAS",FALSE,FALSE,FALSE
0,23,"FAMILIAR",36,4995,NA,1,1200,1840,1218.6,165,"Lima",1,"UNIVERSITARIA",20,1840,0,"Alta","No Propia","Lima",FALSE,FALSE,FALSE
0,9,"PROPIA",38,5209,28,12,700,2595.06,1094.72,226,"Lima",0,"TECNICA",28,2595.06,0,"Media o menos","Propia","Lima",FALSE,FALSE,FALSE
0,1,"PROPIA",24,4052,NA,12,1119.98,NA,945.36,175,"Lima",0,"TECNICA",20,0,0,"Media o menos","Propia","Lima",FALSE,FALSE,FALSE
0,27,"PROPIA",37,3534,NA,12,1700,NA,18711.03,194,"Cajamarca",0,"TECNICA",20,0,0,"Media o menos","Propia","OTRAS",FALSE,FALSE,FALSE
0,0,"FAMILIAR",32,5878,11,12,1950,1760,5.29,180,"Lima",0,"TECNICA",11,1760,0,"Media o menos","No Propia","Lima",FALSE,FALSE,FALSE
0,33,"FAMILIAR",36,6243,38,12,900,2414.65,0,177,"Lima",2,"TECNICA",38,2414.65,0,"Media o menos","No Propia","Lima",FALSE,FALSE,FALSE
0,0,"PROPIA",24,4382,NA,12,1272.95,NA,4103.82,194,"Callao",0,"TECNICA",20,0,0,"Media o menos","Propia","OTRAS",FALSE,FALSE,FALSE
0,0,"FAMILIAR",29,5056,14,1,1500,10485.64,502.97,165,"Lima",0,"UNIVERSITARIA",14,10485.64,0,"Alta","No Propia","Lima",FALSE,FALSE,FALSE
0,2,"FAMILIAR",25,4935,16,12,1053.18,2400,1200,169,"Callao",0,"TECNICA",16,2400,0,"Media o menos","No Propia","OTRAS",FALSE,FALSE,FALSE
0,21,"FAMILIAR",23,3960,17,12,2100,2113.17,3.96,206,"Lima",1,"TECNICA",17,2113.17,0,"Media o menos","No Propia","Lima",FALSE,FALSE,FALSE
0,2,"FAMILIAR",23,4539,NA,12,2300,1573.6,0,181,"Lima",0,"UNIVERSITARIA",20,1573.6,0,"Alta","No Propia","Lima",FALSE,FALSE,FALSE
0,1,"PROPIA",24,3899,20,12,2100,2080,2426.15,228,"Lima",2,"UNIVERSITARIA",20,2080,0,"Alta","Propia","Lima",FALSE,FALSE,FALSE
0,0,"FAMILIAR",28,4113,6,12,1400,2500,1810.82,185,"Lima",0,"UNIVERSITARIA",6,2500,0,"Alta","No Propia","Lima",FALSE,FALSE,FALSE
0,0,"FAMILIAR",29,4113,15,12,4200,186.22,1075.17,200,"Lima",0,"UNIVERSITARIA",15,186.22,0,"Alta","No Propia","Lima",FALSE,FALSE,FALSE
0,0,"FAMILIAR",26,3483,NA,12,703.53,NA,2495.79,167,"Lima",0,"TECNICA",20,0,0,"Media o menos","No Propia","Lima",FALSE,FALSE,FALSE
0,0,"FAMILIAR",24,4021,NA,12,1200,NA,3789.55,156,"Lima",0,"TECNICA",20,0,0,"Media o menos","No Propia","Lima",FALSE,FALSE,FALSE
0,1,"PROPIA",39,3864,NA,12,880,NA,197.03,215,"Lima",0,"TECNICA",20,0,0,"Media o menos","Propia","Lima",FALSE,FALSE,FALSE
0,0,"PROPIA",32,6821,NA,8,5000,242.23,9481.83,162,"Lambayeque",0,"TECNICA",20,242.23,0,"Media o menos","Propia","OTRAS",FALSE,FALSE,FALSE
0,0,"FAMILIAR",37,4174,NA,12,3500,2924.86,0,202,"Lima",0,"UNIVERSITARIA",20,2924.86,0,"Alta","No Propia","Lima",FALSE,FALSE,FALSE
0,0,"FAMILIAR",21,3718,9,11,2100,2176.56,771.21,207,"Lima",2,"UNIVERSITARIA",9,2176.56,0,"Alta","No Propia","Lima",FALSE,FALSE,FALSE
0,0,"FAMILIAR",25,3347,NA,12,2500,NA,0,186,"Junin",0,"TECNICA",20,0,0,"Media o menos","No Propia","OTRAS",FALSE,FALSE,FALSE
0,0,"FAMILIAR",41,4386,104,12,3350,14223.57,3459.13,190,"La Libertad",1,"TECNICA",104,14223.57,0,"Media o menos","No Propia","OTRAS",TRUE,FALSE,FALSE
0,0,"ALQUILADA",29,4935,NA,0,1860,NA,13201.17,167,"La Libertad",0,"TECNICA",20,0,0,"Media o menos","No Propia","OTRAS",FALSE,FALSE,FALSE
0,2,"FAMILIAR",44,4813,2,12,3476,NA,24592.29,205,"Ancash",4,"UNIVERSITARIA",2,0,0,"Alta","No Propia","OTRAS",FALSE,FALSE,FALSE
0,3,"FAMILIAR",25,5725,NA,11,6000,520.73,0,205,"Lambayeque",1,"TECNICA",20,520.73,0,"Media o menos","No Propia","OTRAS",FALSE,FALSE,FALSE
0,0,"FAMILIAR",29,3168,NA,12,694.41,886.68,1556.01,194,"Lima",1,"TECNICA",20,886.68,0,"Media o menos","No Propia","Lima",FALSE,FALSE,FALSE
0,2,"FAMILIAR",21,3612,NA,12,1504.31,NA,0,161,"Lima",0,"TECNICA",20,0,0,"Media o menos","No Propia","Lima",FALSE,FALSE,FALSE
0,2,"FAMILIAR",28,4367,NA,12,1812.8,NA,7697.47,177,"La Libertad",0,"TECNICA",20,0,0,"Media o menos","No Propia","OTRAS",FALSE,FALSE,FALSE
0,2,"FAMILIAR",26,4818,NA,12,964.62,NA,284.36,169,"Tumbes",0,"SECUNDARIA",20,0,0,"Media o menos","No Propia","OTRAS",FALSE,FALSE,FALSE
0,6,"FAMILIAR",34,10108,33,1,5039,461.21,19539.22,206,"Piura",1,"TECNICA",33,461.21,0,"Media o menos","No Propia","OTRAS",FALSE,FALSE,FALSE
0,0,"FAMILIAR",32,6396,15,0,4500,14940.16,60.3,163,"Lima",0,"SECUNDARIA",15,14940.16,0,"Media o menos","No Propia","Lima",FALSE,FALSE,FALSE
0,0,"FAMILIAR",29,5301,24,0,3224.86,567.63,678.86,180,"Apurimac",0,"UNIVERSITARIA",24,567.63,0,"Alta","No Propia","OTRAS",FALSE,FALSE,FALSE
0,23,"FAMILIAR",35,5847,NA,12,1800,NA,3942.86,204,"Piura",1,"UNIVERSITARIA",20,0,0,"Alta","No Propia","OTRAS",FALSE,FALSE,FALSE
0,0,"PROPIA",47,4570,NA,12,3800,1790.97,1943.62,214,"Lambayeque",0,"SECUNDARIA",20,1790.97,0,"Media o menos","Propia","OTRAS",FALSE,FALSE,FALSE
0,0,"FAMILIAR",29,5360,NA,12,3200,5889.34,0,216,"Lima",1,"UNIVERSITARIA",20,5889.34,0,"Alta","No Propia","Lima",FALSE,FALSE,FALSE
0,0,"FAMILIAR",30,3443,NA,12,8239,NA,23303.9,185,"Cajamarca",0,"TECNICA",20,0,0,"Media o menos","No Propia","OTRAS",FALSE,FALSE,FALSE
0,0,"FAMILIAR",36,4170,10,12,3150,1700,1637.81,197,"Lima",4,"UNIVERSITARIA",10,1700,0,"Alta","No Propia","Lima",FALSE,FALSE,FALSE
0,1,"FAMILIAR",28,6456,9,11,2200,1107.42,1175.88,209,"Lima",0,"UNIVERSITARIA",9,1107.42,0,"Alta","No Propia","Lima",FALSE,FALSE,FALSE
0,1,"FAMILIAR",55,3868,8,12,3686.3,8925,2764.72,211,"Lima",2,"TECNICA",8,8925,0,"Media o menos","No Propia","Lima",FALSE,FALSE,FALSE
0,1,"FAMILIAR",26,4113,7,12,2278.38,1600,5458.23,206,"Lima",0,"UNIVERSITARIA",7,1600,0,"Alta","No Propia","Lima",FALSE,FALSE,FALSE
0,0,"PROPIA",32,4629,9,12,3000,2107.77,3735.74,230,"Moquegua",0,"TECNICA",9,2107.77,0,"Media o menos","Propia","OTRAS",FALSE,FALSE,FALSE
0,1,"FAMILIAR",32,4205,NA,12,1000,460,3951.23,194,"Lima",0,"TECNICA",20,460,0,"Media o menos","No Propia","Lima",FALSE,FALSE,FALSE
0,20,"PROPIA",26,4721,38,12,2166.26,5338.84,0,191,"Lima",1,"TECNICA",38,5338.84,0,"Media o menos","Propia","Lima",FALSE,FALSE,FALSE
0,0,"FAMILIAR",24,3809,10,10,827.67,2800,1215.48,156,"La Libertad",0,"TECNICA",10,2800,0,"Media o menos","No Propia","OTRAS",FALSE,FALSE,FALSE
0,2,"PROPIA",56,6762,NA,12,2690,NA,0,228,"Junin",0,"TECNICA",20,0,0,"Media o menos","Propia","OTRAS",FALSE,FALSE,FALSE
0,0,"FAMILIAR",25,4083,11,12,2100,1500,1415.81,189,"Callao",0,"UNIVERSITARIA",11,1500,0,"Alta","No Propia","OTRAS",FALSE,FALSE,FALSE
0,0,"FAMILIAR",41,5421,8,12,990,179.05,637.72,198,"Lima",0,"UNIVERSITARIA",8,179.05,0,"Alta","No Propia","Lima",FALSE,FALSE,FALSE
0,0,"FAMILIAR",48,7492,92,0,4000,11652.79,4929.23,202,"Lima",0,"TECNICA",92,11652.79,0,"Media o menos","No Propia","Lima",TRUE,FALSE,FALSE
0,13,"FAMILIAR",41,4113,NA,12,1632.87,NA,1543.45,182,"Lima",0,"TECNICA",20,0,0,"Media o menos","No Propia","Lima",FALSE,FALSE,FALSE
0,1,"FAMILIAR",32,4300,9,12,964.17,2258.74,761.47,178,"Lima",1,"TECNICA",9,2258.74,0,"Media o menos","No Propia","Lima",FALSE,FALSE,FALSE
0,0,"FAMILIAR",34,4263,NA,12,968,NA,1241.07,170,"Cuzco",0,"TECNICA",20,0,0,"Media o menos","No Propia","OTRAS",FALSE,FALSE,FALSE
0,0,"PROPIA",29,5544,46,2,6814,18752.45,0,214,"Lima",0,"UNIVERSITARIA",46,18752.45,0,"Alta","Propia","Lima",FALSE,FALSE,FALSE
0,25,"FAMILIAR",24,4721,41,12,2200,1423.15,552.96,200,"Lima",2,"TECNICA",41,1423.15,0,"Media o menos","No Propia","Lima",FALSE,FALSE,FALSE
0,0,"FAMILIAR",24,4113,10,9,2100,410.12,408.67,176,"Lambayeque",0,"UNIVERSITARIA",10,410.12,0,"Alta","No Propia","OTRAS",FALSE,FALSE,FALSE
0,0,"FAMILIAR",26,3474,5,11,1495.09,NA,16688.92,174,"La Libertad",0,"TECNICA",5,0,0,"Media o menos","No Propia","OTRAS",FALSE,FALSE,FALSE
0,1,"FAMILIAR",31,4325,NA,12,1000,NA,1365.2,194,"Callao",0,"TECNICA",20,0,0,"Media o menos","No Propia","OTRAS",FALSE,FALSE,FALSE
0,0,"PROPIA",43,6456,41,12,8750,5817.84,4955.85,224,"Junin",0,"UNIVERSITARIA",41,5817.84,0,"Alta","Propia","OTRAS",FALSE,FALSE,FALSE
0,25,"FAMILIAR",32,7551,45,0,13000,730.92,0,199,"Lima",0,"UNIVERSITARIA",45,730.92,0,"Alta","No Propia","Lima",FALSE,FALSE,FALSE
0,0,"FAMILIAR",25,3990,NA,12,1424.68,NA,6462.92,171,"Arequipa",0,"TECNICA",20,0,0,"Media o menos","No Propia","OTRAS",FALSE,FALSE,FALSE
0,0,"FAMILIAR",31,3899,13,0,2100,1430.11,0,192,"Lima",0,"TECNICA",13,1430.11,0,"Media o menos","No Propia","Lima",FALSE,FALSE,FALSE
0,0,"FAMILIAR",34,7704,8,8,1500,3754,355.82,188,"Lambayeque",1,"UNIVERSITARIA",8,3754,0,"Alta","No Propia","OTRAS",FALSE,FALSE,FALSE
0,9,"FAMILIAR",42,6456,25,0,8000,10769.97,0,180,"Lima",1,"UNIVERSITARIA",25,10769.97,0,"Alta","No Propia","Lima",FALSE,FALSE,FALSE
0,0,"FAMILIAR",30,4386,7,12,2000,9065.38,5233.5,200,"Lima",0,"UNIVERSITARIA",7,9065.38,0,"Alta","No Propia","Lima",FALSE,FALSE,FALSE
0,9,"FAMILIAR",29,5760,NA,12,1107.6,1650,3025.91,175,"Piura",1,"TECNICA",20,1650,0,"Media o menos","No Propia","OTRAS",FALSE,FALSE,FALSE
0,0,"FAMILIAR",23,3734,NA,12,1185.05,NA,4336.36,156,"Puno",0,"TECNICA",20,0,0,"Media o menos","No Propia","OTRAS",FALSE,FALSE,FALSE
0,17,"FAMILIAR",47,7551,NA,3,3000,13988.17,0,217,"Lima",1,"UNIVERSITARIA",20,13988.17,0,"Alta","No Propia","Lima",FALSE,FALSE,FALSE
0,9,"FAMILIAR",40,4356,17,7,900,4845.56,0,207,"Lambayeque",0,"UNIVERSITARIA",17,4845.56,0,"Alta","No Propia","OTRAS",FALSE,FALSE,FALSE
0,19,"PROPIA",29,4615,NA,12,2301.9,NA,1886.48,212,"La Libertad",1,"UNIVERSITARIA",20,0,0,"Alta","Propia","OTRAS",FALSE,FALSE,FALSE
0,0,"PROPIA",27,4782,NA,12,2097.4,NA,0,211,"Lima",0,"TECNICA",20,0,0,"Media o menos","Propia","Lima",FALSE,FALSE,FALSE
0,0,"FAMILIAR",31,4083,NA,12,908.5,2145.14,4168.6,175,"Lima",0,"TECNICA",20,2145.14,0,"Media o menos","No Propia","Lima",FALSE,FALSE,FALSE
0,1,"PROPIA",26,4144,NA,12,664.37,NA,1951.27,188,"Ayacucho",0,"TECNICA",20,0,0,"Media o menos","Propia","OTRAS",FALSE,FALSE,FALSE
0,2,"FAMILIAR",23,4448,3,12,1368.6,1727.25,5501.75,156,"Piura",1,"TECNICA",3,1727.25,0,"Media o menos","No Propia","OTRAS",FALSE,FALSE,FALSE
0,12,"FAMILIAR",36,6090,30,12,2100,NA,9594.57,213,"Lima",1,"TECNICA",30,0,0,"Media o menos","No Propia","Lima",FALSE,FALSE,FALSE
0,1,"FAMILIAR",31,4598,NA,12,1500,NA,10229.82,170,"Lima",0,"TECNICA",20,0,0,"Media o menos","No Propia","Lima",FALSE,FALSE,FALSE
0,5,"FAMILIAR",48,6059,NA,12,1540,NA,57094.38,201,"Lima",1,"TECNICA",20,0,0,"Media o menos","No Propia","Lima",FALSE,FALSE,FALSE
0,0,"PROPIA",50,4052,NA,12,1182.72,NA,1093.67,199,"La Libertad",0,"TECNICA",20,0,0,"Media o menos","Propia","OTRAS",FALSE,FALSE,FALSE
0,0,"FAMILIAR",27,6456,8,12,2100,1717.06,432.86,187,"Lima",0,"UNIVERSITARIA",8,1717.06,0,"Alta","No Propia","Lima",FALSE,FALSE,FALSE
0,0,"FAMILIAR",28,3840,19,12,2100,1540,5656.79,205,"Lima",0,"TECNICA",19,1540,0,"Media o menos","No Propia","Lima",FALSE,FALSE,FALSE
0,0,"FAMILIAR",38,4417,26,12,4500,866.76,0,197,"Lima",0,"UNIVERSITARIA",26,866.76,0,"Alta","No Propia","Lima",FALSE,FALSE,FALSE
0,1,"FAMILIAR",28,4113,NA,12,1450.38,3077.03,2007.64,175,"Callao",3,"TECNICA",20,3077.03,0,"Media o menos","No Propia","OTRAS",FALSE,FALSE,FALSE
0,0,"FAMILIAR",43,6548,NA,12,1542.03,NA,9633.36,197,"Junin",0,"TECNICA",20,0,0,"Media o menos","No Propia","OTRAS",FALSE,FALSE,FALSE
0,0,"FAMILIAR",42,10931,39,0,3300,19.5,53.01,199,"Pasco",0,"UNIVERSITARIA",39,19.5,0,"Alta","No Propia","OTRAS",FALSE,FALSE,FALSE
0,0,"PROPIA",47,4935,NA,2,7586.26,NA,0,199,"Lambayeque",0,"UNIVERSITARIA",20,0,0,"Alta","Propia","OTRAS",FALSE,FALSE,FALSE
0,1,"FAMILIAR",40,7186,NA,12,3290.22,4343.23,1739.58,197,"Callao",1,"TECNICA",20,4343.23,0,"Media o menos","No Propia","OTRAS",FALSE,FALSE,FALSE
0,0,"FAMILIAR",32,3584,14,12,2500,4942.55,7568.56,200,"Lambayeque",1,"UNIVERSITARIA",14,4942.55,0,"Alta","No Propia","OTRAS",FALSE,FALSE,FALSE
0,2,"FAMILIAR",29,3559,NA,11,2800,3667.1,1810.3,200,"Lima",1,"UNIVERSITARIA",20,3667.1,0,"Alta","No Propia","Lima",FALSE,FALSE,FALSE
0,0,"FAMILIAR",23,3899,10,12,2100,1100,1049.98,181,"Cuzco",0,"UNIVERSITARIA",10,1100,0,"Alta","No Propia","OTRAS",FALSE,FALSE,FALSE
0,0,"FAMILIAR",34,4690,35,12,1500,1084.9,2382.04,206,"Lima",0,"UNIVERSITARIA",35,1084.9,0,"Alta","No Propia","Lima",FALSE,FALSE,FALSE
0,0,"FAMILIAR",24,4478,9,12,3000,1654.49,704.89,176,"Lima",1,"UNIVERSITARIA",9,1654.49,0,"Alta","No Propia","Lima",FALSE,FALSE,FALSE
0,0,"FAMILIAR",26,4539,12,12,668.46,1990,1397.76,169,"Callao",3,"TECNICA",12,1990,0,"Media o menos","No Propia","OTRAS",FALSE,FALSE,FALSE
0,1,"PROPIA",26,4011,51,12,861.67,1906.63,2272.1,196,"Lima",1,"UNIVERSITARIA",51,1906.63,0,"Alta","Propia","Lima",FALSE,FALSE,FALSE
0,0,"PROPIA",35,4319,NA,12,834.25,NA,3606.77,196,"Ica",0,"TECNICA",20,0,0,"Media o menos","Propia","OTRAS",FALSE,FALSE,FALSE
0,0,"FAMILIAR",21,3626,15,12,850,2600,5189.55,192,"Lima",2,"UNIVERSITARIA",15,2600,0,"Alta","No Propia","Lima",FALSE,FALSE,FALSE
0,0,"FAMILIAR",28,3595,71,6,3544.79,8400,12981.97,194,"Lambayeque",0,"UNIVERSITARIA",71,8400,0,"Alta","No Propia","OTRAS",FALSE,FALSE,FALSE
0,0,"FAMILIAR",48,4509,81,4,6600,5415.88,0,175,"Lima",0,"UNIVERSITARIA",81,5415.88,0,"Alta","No Propia","Lima",FALSE,FALSE,FALSE
0,0,"FAMILIAR",24,4570,NA,12,1084.18,NA,4420.64,182,"Ica",0,"TECNICA",20,0,0,"Media o menos","No Propia","OTRAS",FALSE,FALSE,FALSE
0,0,"FAMILIAR",42,4417,13,11,2850,1433.22,438.09,205,"Lima",0,"UNIVERSITARIA",13,1433.22,0,"Alta","No Propia","Lima",FALSE,FALSE,FALSE
0,0,"FAMILIAR",43,3868,NA,12,2400,12936.95,4107.47,223,"Lima",1,"TECNICA",20,12936.95,0,"Media o menos","No Propia","Lima",FALSE,FALSE,FALSE
0,0,"PROPIA",49,6456,44,3,30000,NA,0,203,"Lima",0,"SIN EDUCACION",44,0,0,"Media o menos","Propia","Lima",FALSE,FALSE,FALSE
0,1,"FAMILIAR",28,3650,NA,12,1378.3,NA,3415.59,172,"Callao",0,"UNIVERSITARIA",20,0,0,"Alta","No Propia","OTRAS",FALSE,FALSE,FALSE
0,2,"FAMILIAR",49,3707,NA,12,3152.38,NA,3762.38,185,"Lima",0,"TECNICA",20,0,0,"Media o menos","No Propia","Lima",FALSE,FALSE,FALSE
0,0,"FAMILIAR",34,3290,NA,12,1682.62,NA,3513.41,201,"Callao",0,"TECNICA",20,0,0,"Media o menos","No Propia","OTRAS",FALSE,FALSE,FALSE
0,0,"FAMILIAR",43,6059,21,12,3070,2659.3,3709.71,190,"Lima",0,"TECNICA",21,2659.3,0,"Media o menos","No Propia","Lima",FALSE,FALSE,FALSE
0,0,"FAMILIAR",33,4675,NA,12,2030.99,700,12051.69,177,"Callao",0,"TECNICA",20,700,0,"Media o menos","No Propia","OTRAS",FALSE,FALSE,FALSE
0,1,"FAMILIAR",27,4172,NA,12,1032.6,4295.86,127,175,"Lima",0,"TECNICA",20,4295.86,0,"Media o menos","No Propia","Lima",FALSE,FALSE,FALSE
0,0,"FAMILIAR",21,3626,NA,12,2100,NA,6294.66,190,"Lima",0,"UNIVERSITARIA",20,0,0,"Alta","No Propia","Lima",FALSE,FALSE,FALSE
0,9,"FAMILIAR",29,4721,29,4,1800,6184.6,896.17,188,"Lima",2,"UNIVERSITARIA",29,6184.6,0,"Alta","No Propia","Lima",FALSE,FALSE,FALSE
